Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1340124,-,Albay,Philippines,13.13,123.74,8,91,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,Temperature,Wind Speed,Pressure,Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,0,30,25.7,5,1013,92.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,1,30,25.7,5,1013,92.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,2,30,25.6,5,1012,92.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,3,30,25.7,5.2,1012,91.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,4,30,25.7,5.3,1013,91.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,5,30,25.8,5.2,1014,91.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,6,30,26,5.1,1014,90.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,7,30,26.2,5.1,1015,91.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,8,30,27.2,3.2,1009,92.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,9,30,27.9,3.7,1009,87.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,10,30,28.3,4.1,1008,83.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,11,30,28.4,4.5,1008,82.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,12,30,28.1,4.9,1007,83.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,13,30,27.6,5.2,1007,85.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,14,30,27,5.3,1007,87.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,15,30,26.3,5.2,1007,89.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,16,30,25.5,5.1,1007,92.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,17,30,24.9,5.2,1008,93.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,18,30,24.6,5.3,1009,92.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,19,30,24.4,5.5,1010,92.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,20,30,24.2,5.5,1010,92.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,21,30,24.1,5.5,1010,91.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,22,30,23.9,5.4,1010,92.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,23,30,23.8,5.4,1010,92.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,0,30,23.6,5.3,1009,92.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,1,30,23.5,5.3,1009,92.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,2,30,23.5,5.1,1009,92.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,3,30,23.5,5,1009,92.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,4,30,23.6,4.8,1009,92.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,5,30,23.7,4.7,1010,91.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,6,30,24.1,5,1010,89.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,7,30,24.4,5.2,1011,89.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,8,30,25.3,5.8,1011,86.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,9,30,25.8,6.1,1011,83.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,10,30,26.1,6.2,1011,82.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,11,30,26.3,6.1,1010,81.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,12,30,26.3,6,1009,81.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,13,30,26.1,5.8,1008,82.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,14,30,25.7,5.4,1008,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,15,30,25.2,5,1009,87.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
